#{"t_start": 1755810326.851637, "env_id": "None"}
r,l,t
507.593285,354,616.363488
605.696202,418,616.651727
793.706758,495,616.999582
1084.657185,731,617.53262
947.834495,631,619.197505
793.456773,708,619.736837
1044.851803,670,633.928856
1319.13637,1000,622.337486
1021.455744,666,622.815727
1271.273254,950,624.832987
1231.15378,955,625.59283
1126.438513,939,627.769065
712.236853,523,628.143605
1106.288188,692,628.684951
1034.108481,959,630.786167
1132.434633,982,631.495093
1079.244965,685,633.238218
1239.923107,1000,633.950986
1007.281814,842,634.584171
564.155202,383,649.836948
1274.582523,1000,650.593955
853.644677,840,652.5661
1297.160887,809,653.133615
1215.791795,1000,653.852339
1038.084525,827,655.770075
1584.466055,983,656.470592
1643.688294,1000,658.486141
679.709964,534,658.917357
1044.714907,850,659.552521
967.601564,704,661.391107
1213.705961,1000,662.113376
1268.685268,1000,650.47936
1447.710708,960,651.205895
1326.49666,1000,653.102928
1584.611487,1000,653.872612
1435.441578,1000,655.957052
1167.644216,1000,656.666074
952.491863,1000,658.736736
771.779532,511,659.098622
1074.198441,863,659.725418
1185.979437,759,661.588614
1038.42872,647,662.052968
1129.219078,658,662.540028
1139.010468,1000,664.683343
1013.019038,1000,679.144295
1419.477415,1000,667.468228
836.640937,534,667.848055
1142.536665,1000,670.029034
1267.38315,1000,670.844497
1244.893466,1000,672.92435
1078.774551,1000,673.634851
1465.96583,756,674.182072
1148.842057,1000,676.270842
1140.706107,858,676.883068
1181.540247,1000,678.936231
675.158407,505,679.314243
1396.229471,778,679.906668
882.812001,656,681.814173
1304.443682,1000,682.531457
1200.166744,966,684.541575
611.844368,448,699.035697
1262.171485,1000,686.10242
1550.012032,991,688.071117
790.317577,525,688.351288
789.208247,580,688.647491
1012.051118,1000,690.088895
704.095339,520,704.070579
1210.943184,973,691.867821
796.384886,630,692.181118
1300.343491,950,692.661025
1147.59611,812,693.954554
771.776883,463,694.191491
1053.784216,752,694.562577
909.254254,1000,696.091095
1000.65539,597,696.403095
